URL,Date,Data source,User,Title,Category,,Notes,Log,,,Other facility,,Resolution,Bad attempts,,,,Bad suggestions,,,Votes,,Useless attempts,,Useless suggestion,,Quotations,Misc,,
http://serverfault.com/questions/39699/unauthorised-to-connect-to-mysql-server-running-in-vm,7/13/2009,SF (MYSQL),/users/1030/ian,,Database ,login,,Y,Y,Host 'monolith.home' is not allowed to connect to this MySQL server,N,N,,1,GRANT ALL on *.*,OVERGRANT_PRIV,0,0,,,,,0,,0,,GRANT ALL PRIVILEGES on *.* to 'root'@'%.home' IDENTIFIED BY 'password',,,
http://serverfault.com/questions/667527/why-wont-mysql-accept-connections-from-local-programs,2/13/2015,SF (MYSQL),/users/220871/codemed,,Database ,login,,Y,Y,Host 'mydomain.com' is not allowed to connect to this MariaDB server,N,/etc/host,,0,,,0,0,,,,,1,X_WRN_PROB,1,WRN_PROB,"I have since reversed almost all the commands from the tutorial, with the exception of certain script calls whose inverse functions are not known. The error persists after the steps taken so far.",,,
http://serverfault.com/questions/174033/importing-a-mysqldump-file-does-not-import-triggers-due-to-some-permission-probl,8/24/2010,SF (MYSQL),/users/51792/giorgio79,,Database ,import,,Y,Y,ERROR 1227 (42000) at line 22: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/555953/first-attempt-to-migrate-ec2-mysql-to-amazon-rds-no-going-well-super-privilege,11/19/2013,SF (MYSQL),/users/188683/dsl101,,Database ,run stored routine,,Y,Y,ERROR 1227 (42000) at line 22: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,perl tool,,0,,,0,0,,,,,2,X_WRN_PROB;X_WRN_PROB,1,WRN_PROB,,,,
http://serverfault.com/questions/290587/update-rds-db-via-mysqlbinlog-you-need-at-least-one-of-the-super-privileges,7/15/2011,SF (MYSQL),/users/56495/timoxley,,Database ,dump,,Y,Y,ERROR 1227 (42000) at line 6: Access denied; you need (at least one of) the SUPER privilege(s) for this operation,N,perl tool,,0,,,0,0,,,,,0,,0,,"Thanks I ended up doing it the most slow, stupid but reliable way possible: just taking the site down, taking a backup and moving the data in one big chunk. Thanks though, I have been wondering how people get around this for nearly a year now.",minimal downtime requirements,,
http://dba.stackexchange.com/questions/20221/mysql-user-permission-on-stored-procedure,7/1/2012,DBA,/users/972/adam-matan,,Database ,execute,,Y,Y,ERROR 1370 (42000): execute command denied to user ''@'localhost' for routine 'test.hello',N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/9249/how-do-i-change-the-definer-of-a-view-in-mysql,12/16/2011,DBA (MYSQL),/users/5133/kfmfe04,,Database ,Good example?,,Y,Y,mysqldump: Got error: 1449: The user specified as a definer ('root'@'foobar') does not exist when using LOCK TABLES,N,N,,0,,,0,0,,,,,0,,2,WRN_PROB;WRN_SUBSYS,,,,
http://serverfault.com/questions/223467/view-related-privileges-in-mysql,1/17/2011,SF (MYSQL),/users/53516/jason-swett,,Database ,dump,,Y,Y,mysqldump: Couldn't execute 'show create table `view_household`': SHOW VIEW command denied to user 'backup'@'localhost' for table 'view_household' (1142),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/305452/mysql-deleting-the-sock-file-and-complained-about-the-permission-for-it,8/26/2011,SF (MYSQL),/users/81428/zhuanyi,,Database ,connect,,Y,Y,110826 18:00:22 [ERROR] Can't start server : Bind on unix socket: Permission denied,N,N,,1,1777,DISABLE_PROT,0,1,1777,Y,0,0,0,,2,WRN_SUBSYS;WRN_PROB,,,,
http://serverfault.com/questions/441716/after-creating-a-mysql-user-with-all-privileges-the-user-cannot-create-database,10/24/2012,SF (MYSQL),/users/101111/larry-b,,Database ,create db,,N,N,UNKNOWN,N,N,,1,GRANT ALL *.*,OVERGRANT_PRIV,1,0,,,,,1,X_WRN_PARAM,1,WRN_PROB,,,,
http://dba.stackexchange.com/questions/50258/how-to-join-table-from-different-database-with-different-users-of-database,9/20/2013,DBA (MYSQL),/users/28303/ashwinp,,Database ,select + join,,Y,Y,SELECT command denied to user 'root2'@'127.0.0.2' for table 'Product',N,N,,0.5,GRANT ALL db.*,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/71890/unable-to-import-the-file,7/19/2014,DBA (MYSQL),/users/40918/karthick,,Database ,load,,Y,Y,ERROR 13 (HY000): Can't get stat of '/var/lib/mysql/home/karthick.g.s/Desktop/karthick.csv' (Errcode: 2),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://dba.stackexchange.com/questions/13828/access-denied-for-user-myuser10-to-database-mydb-mysql-import-sql-scrip,2/24/2012,DBA (MYSQL),/users/2709/nick,,Database ,mysqldump,,Y,Y,UNKNOWN,N,N,,0,,,0,0,,,,,0,,0,,,,,
https://lists.mysql.com/mysql/37682,5/17/2000,ML (MYSQL),gnnix/Neil,permissions - where?,Database ,,,N,N,UNKNOWN,N,N,,0,,,0,1,--skip-show-databases.,N,,,0,,0,,,"I have spent ages looking for the details on the permission tables in mysql, in FAQs, the documentation, and books (yes, printed books) but still cannot find an answer to this question.",,
https://lists.mysql.com/mysql/83837,8/28/2001,ML (MYSQL),Pierre-Yves,ERROR 1044: Access denied,Database ,connect,,Y,Y,ERROR 1044: Access denied for user: '@localhost' to database 'hello',N,N,use correct user name,0,,,0,0,,,,,1,X_WRN_PARAM,0,,,,,
https://lists.mysql.com/mysql/142391,6/11/2003,ML (MYSQL),sinan,not allowed to connect to this mysql server,Database ,,,Y,Y,My ip' is not allowed to connect to this mysql server,N,N,,0,,,0,0,,,,,0,,0,,,,,
https://lists.mysql.com/mysql/135535,3/25/2003,ML (MYSQL),katherine bjork,mysql install---help please,Database ,,,Y,Y,Warning:  mysql_connect() [function.mysql-connect]: Access denied for user: 'root@localhost' (Using password: NO) ,N,N,,0,,,0,0,,,,,1,,0,,,"Please don't point me to the mysql.org page...been there I do not understand the ""grants et al"". Need plain english as in explicit instruction on what to do.",,
https://lists.mysql.com/mysql/155810,12/16/2003,ML (MYSQL),ads mysql,How to create mysql user?,Database ,,,Y,Y,ERROR 1045: Access denied for user: 'abc@localhost' (Using password: YES),N,N,,0,,,0,0,,,,,0,,0,,,,,
https://lists.mysql.com/mysql/199821,7/11/2006,ML (MYSQL),John Doolan,Manually enabling root access from remote machine,Database ,conenct,,Y,N,UNKNOWN,N,N,,0,,,0,1,GRANT ALL *.*,N,,,0,,0,,,,,
https://lists.mysql.com/mysql/210537,12/20/2007,ML (MYSQL),Victor Subervi,Problems Adding User,Database ,,,Y,Y,"ERROR 1396 (HY000): Operation CREATE USER failed for 'myuser'@'%' 1044, ""Access denied for user 'myuser'@'%' to database 'data1'""",N,N,,0,,,0,0,,,,,0,,1,WRN_PARAM,,,,
https://lists.mysql.com/mysql/121093,10/1/2002,ML (MYSQL),Alec.Cawley,Privileges for CREATE TEMPORARY TABLE?,Database ,,,Y,Y,ERROR 1045: Access denied for user: 'alec@stripped' (Using password: NO),N,N,,0.5,GRANT ALL alec.*,,0,0,,,,,0,,0,,,,,
https://lists.mysql.com/mysql/33562,4/7/2000,ML (MYSQL),Elizabeth Alvanas,Database admin problem,Database ,,,Y,Y,ERROR 1045: Access denied for user: 'administrator@localhost' (Using password: YES),N,N,,0,,,0,1,GRANT ALL *.*,N,,,1,X_WRN_PROB (not using grant so need flush),0,,,,,
https://lists.mysql.com/mysql/59240,12/17/2000,ML (MYSQL),Gustavo Vieira Goncalves Coelho Rios,cannot acces fields in a table,Database ,,,Y,Y,ERROR 1044: Acesso negado ao usuario : 'afs@localhost' ao banco de dados 'apm',N,N,,0,,,0,0,,,,,1,X_WRN_PERM,0,,,,,
https://lists.mysql.com/mysql/80760,7/26/2001,ML (MYSQL),cjackson/Jackson,I can kill it but Can't stop mysqld,Database ,,,N,N,UNKNOWN,N,N,login as the user who has that privilege,0,,,0,1,GRANT SHUTDOWN ON *.*,N,,,1,X_WRN_SUBSYS,0,,,http://lists-mysql-adc.oracle.com/mysql/80728,,
https://lists.mysql.com/mysql/92923,12/3/2001,ML (MYSQL),Demirchyan Oganes-AOD098,Granting Access in MySQL,Database ,,,N,N,,N,N,,0,,,0,1,GRANT select on *.*,N,,,1,X_WRN_PERM,0,,,,,
https://lists.mysql.com/mysql/134433,3/13/2003,ML (MYSQL),Paul Larue,MySQL Client on Linux won't connect to MySQL Server on XP,Database ,,,Y,Y,ERROR 1130: Host '10.0.0.220' is not allowed to connect to this MySQL server,N,N,,0,,,0,1,GRANT ALL *.*,N,,,1,X_WRN_PROB,0,,,,,
https://lists.mysql.com/mysql/34600,4/19/2000,ML (MYSQL),Christopher R. Jones,Missing User Privs on reboot,Database ,,,N,N,,N,N,,1,GRANT ALL *.*,OVERGRANT_PRIV,0,0,,,,,0,,0,,,,,
https://lists.mysql.com/mysql/229188,4/2/2013,ML (MYSQL),Richard Reina,Please Help. selectcol_arrayref problem,Database ,,,Y,Y,,N,N,grant it,0,,,0,0,,,,,1,X_WRN_PERM,0,,,,,
https://lists.mysql.com/mysql/19237,11/21/1999,ML (MYSQL),Wipro (CORP) Unix-Contractor,Problem in connecting to MySQL via ODBC on NT,Database ,,,Y,Y,Access denied for user: 'mohan@' [using password:YES],N,N,grant the privilege to the client,1,grant all on *.*,OVERGRANT_PRIV,1,1,grant all on *.*,Y,,,1,X_WRN_SUBSYS,,,,"Simplest solution, although not the most secure one  is that You should grant yourself some rights on  server like this:",,
https://lists.mysql.com/mysql/217873,6/15/2009,ML (MYSQL),Adam Williams,restoring mysql db doesn't restore user passwords,Database ,old_password,,Y,Y,ERROR 1045 (28000): Access denied for user 'adam'@'localhost' (using password: YES),N,N,,0,,,0,0,,,,,0,,0,,,,,
http://serverfault.com/questions/207035/show-engines-does-not-list-innodb,11/29/2010,SF (MYSQL),/users/61896/nuclearflox,,External (Filesystem),file/dir,,Y,Y,/usr/sbin/mysqld: Can't create/write to file '/tmp/ibnGBtbE' (Errcode: 13),N,N,,1,777,DISABLE_PROT,0,1,777,Y,0,1(3),0,,0,,,,,
http://serverfault.com/questions/482994/how-do-i-change-ownership-permissions-of-a-mounted-virtualbox-shared-folder-in-d,2/27/2013,SF (MYSQL),/users/29449/tom-j-nowell,,External (Filesystem),file/dir,,Y,Y,#007/usr/sbin/mysqld: Can't find file: './mysql/plugin.frm' (errno: 13),N,N,,1,777,DISABLE_PROT,0,1,777,Y,0,1(1),1,X_WRN_SUBSYS,0,,,,,
http://serverfault.com/questions/523206/ubuntu-mysql-server-connection,7/14/2013,SF (MYSQL),/users/180267/user1032283,,External (Filesystem),file/dir,,Y,Y,^G/usr/sbin/mysqld: Can't find file: './mysql/plugin.frm' (errno: 13),N,df,,0,,,0,0,,,,,2,X_BLIND_GUNSHOT;X_WRN_PROB,1,WRN_PROB,,,,
http://serverfault.com/questions/543725/cant-start-mysql-5-6-installed-via-macports-on-os-x-10-8-5-new-install-errno,10/4/2013,SF (MYSQL),/users/68248/steve-jorgensen,,External (Filesystem),file/dir,,Y,Y,Can't find file: './mysql/plugin.frm' (errno: 13 - Permission denied),N,N,,0,,,0,0,,,,,0,,0,,"Doh! I thought the group ownership was enough, but didn't notice that the group rw permissions were not present on mysql, performance_schema and test directories",,,
http://serverfault.com/questions/404007/symbolic-link-to-mysql-database,7/2/2012,SF (MYSQL),/users/79650/john,,External (Filesystem),file/dir,,Y,Y,MySQL error: 1017 (Can't find file: './dbname/tbl201206.frm' (errno: 13)),N,N,,0,,,0,0,,,,,0,,1,WRN_SUBSYS,,,,
